ids,datetime,likes,shares,comments,likes_reactions,reactions,total,chars_count,words_count,message,date,unique_comments
79770243223_10151882475753224,2013-11-26 04:48:56,236,26,1,236,0,263,448.0,66.0,"Did you know that Cambodia is home to the third-largest lowland dry evergreen forest in Southeast Asia, with 2,300 plant species, 14 endangered animals, and one of seven elephant corridors left in the world?  

USAID is working closely with communities living near the countrys large forests to help protect and maintain precious natural resources for future generations.  Find out more here: http://1.usa.gov/1aFUUdT 

(Photo credit: Fintrac)",2013-11-26,1.0
79770243223_10153793421123224,2016-06-13 10:48:41,1830,156,13,1869,39,2038,844.0,129.0,"Archaeologists have utilized light detection and ranging technology  - or LIDAR - to detect evidence of large, medieval cities hidden beneath the forest floor in #Cambodia. The research, released on Monday in the Journal of Archaeological Science, provides details about multiple cities that are between 900-1,400 years old, some of which were larger than the size of Phnom Penh.

""The new LIDAR survey is so exciting,"" says U.S. archaeologist Dr. Alison Carter, a Visiting Assistant Professor at the University of Illinois at Urbana-Champaign. ""There are plenty of opportunities for young Cambodians to take part in researching their culture and heritage. I hope this will also encourage them to take the lead on preserving these sites."" To read the full story about the LIDAR study, visit https://goo.gl/Ur14Em.

(Photo: AP Photo/Heng Sinith)",2016-06-13,13.0
79770243223_117743471632641,2011-01-11 02:18:45,11,0,6,11,0,17,223.0,34.0,"The United States Government has awarded a five-year, US$56 million contract to Fintrac Inc. This award will now serve as USAIDs flagship food security activity in Cambodia.

Click the link below to read the press release.",2011-01-11,5.0
79770243223_10151913999958224,2013-12-12 05:19:10,142,3,3,142,0,148,451.0,58.0,"The U.S. Representative to the U.N. Agencies in Rome, Ambassador David Lane, travelled to Cheung Tien Village in Oddar Meancheay Province yesterday to see how the United Nations Food and Agriculture Organization helps Cambodian farmers increase their productivity.  

Check out U.S. Mission to the United Nations Agencies in Rome 's photo album to learn more:  https://www.facebook.com/media/set/?set=a.10152063998279555.1073741848.201163534554&type=1",2013-12-12,3.0
79770243223_10151043930378224,2012-07-30 08:21:54,266,4,16,266,0,286,106.0,0.0,     ,2012-07-30,14.0
79770243223_10153147075028224,2015-08-03 03:02:45,1213,63,45,1213,0,1321,639.0,87.0,"""One of the best aspects of serving as the U.S. Ambassador these past three years has been the opportunity to travel across Cambodia and meet its many remarkable young people I commend the countrys political leaders for recognizing the voices of youth; in fact, many political parties have now established youth wings as a way to get more young people involved and interested in politics."" #AmbTodd #Cambodia

To read the full version of this week's column from Ambassador Todd, ""The Vital Role of Youth in Cambodia's Development"" go to http://thecambodiaherald.com/cambodia/the-vital-role-of-youth-in-cambodia%E2%80%99s-development-8776",2015-08-03,44.0
79770243223_10153385664953224,2015-12-09 07:35:51,327,16,8,327,0,351,338.0,54.0,"""Respect for human rights provides the truest mirror that we have of ourselves, the most objective test of how we have come over the centuries, and how far we still have to go.""  U.S. Secretary of State John Kerry.
In recognition of #HumanRightsDay, find out more about the human rights situation in #Cambodia at http://go.usa.gov/cBH9z.",2015-12-09,8.0
79770243223_10151839865168224,2013-11-07 03:25:24,152,7,3,152,0,162,478.0,78.0,"Celebrating Diwali at the White House this week, First Lady Michelle Obama said: 

We want to honor and embrace all of the many cultures and faith traditions that make us who we are as Americans Diwali is also a time for contemplation and reflection, a time for us to think about our obligations to our fellow human beings, particularly those who are less fortunate than we are.

In the photo above, Mrs. Obama tries Bollywood dance moves with students in Washington, DC.",2013-11-07,3.0
79770243223_10152753871008224,2015-01-28 17:54:00,43,3,0,43,0,46,895.0,74.0,"!               :  :      !     #PeaceConcert   

Lets Rock! The Peace Concert Series promoting non-violence continues this weekend, this time in Battambang Province at Moung Reussei District High School on Saturday, January 31 and Sunday, February 1 from 6:30-10:30pm. Enjoy musical performances by Chhorn Sovannareach and Sokun Nisa, with comedy by CT New and Neay Koy! Take a look at some of the amazing photos with Meas Sok Sophea and other entertainers at the #PeaceConcert in Banteay Mencheay two weeks ago

#Cambodia #Peaceconcerts",2015-01-28,
79770243223_10151355259933224,2013-02-06 07:23:39,629,17,20,629,0,666,810.0,55.0,"  Andrew Tweed   """"  

Senior English Language Fellow Andrew Tweed conducted a workshop entitled Student Centered Learning at the Regional Teacher Training Center in Phnom Penh.

  

 Andrew    

30 trainees from 5 differences provinces participated.

By demonstrating new techniques and activities, Andrew introduced hands-on ways to actively involve all the students in English language classes. 

Learn more about English Language Fellow Program:
http://exchanges.state.gov/us/program/english-language-fellow-program",2013-02-06,19.0
79770243223_10151643586448224,2013-08-01 05:21:16,387,11,12,387,0,410,271.0,10.0," link    New York 
http://www.youtube.com/watch?v=jZi7Y8Jd49s

 Niagara Falls  New York 
http://www.youtube.com/watch?v=Oia9M-EG3V8

Photo by Christopher Schoenbohm
http://www.flickr.com/photos/chrisschoenbohm/",2013-08-01,12.0
79770243223_10151499370933224,2013-05-07 08:03:59,301,15,4,301,0,320,434.0,52.0,"U.S. Secretary of State John Kerry will participate in a live conversation online with Americans in a Hangout at State titled The U.S. In the World: Whats In It for Us?

The conversation, to be held through a Google+ Hangout, will take place Friday, May 10 at 1:30p.m. EDT.

Secretary Kerry Hangout will be broadcast live at http://www.youtube.com/user/statevideo.

Read more: http://www.state.gov/r/pa/prs/ps/2013/05/208984.htm",2013-05-07,3.0
79770243223_10153140535243224,2015-07-30 13:24:58,5704,356,41,5704,0,6101,488.0,69.0,"It's #ThrowbackThursday and today we remember President Obama's historic visit to Cambodia in November 2012.  This photo was taken at the Phnom Penh International Airport and is part of a collection of images from the 50 (soon to be 52) different countries that he has visited during his time as President of the United States.  To see more of these amazing pictures, go to https://www.whitehouse.gov/blog/2015/07/24/behind-lens-photographing-president-50-countries.
#TBT #POTUS #Cambodia",2015-07-30,41.0
79770243223_10152890516538224,2015-04-06 04:19:16,1286,32,17,1286,0,1335,717.0,111.0,"""my heartfelt condolences to the family, friends, and colleagues of journalist Pen Samitthy, who passed away earlier this week.  We are seeing more Cambodians following Pen Samitthys example by helping the country move closer towards achieving its full potential by promoting and implementing reforms that have improved the lives of ordinary citizens. Instead of seeing this as a challenge that Cambodia is facing, I believe that it presents a wonderful opportunity for both parties to work together on reforms that will benefit all citizens."" - #AmbTodd 

This week, Ambassador Todd's column titled ""What's Next"" addresses the next step in reform for Cambodia.  To read the full column, go to: http://bit.ly/1NN14gE",2015-04-06,15.0
79770243223_10152777876123224,2015-02-10 10:55:23,157,8,0,157,0,165,44.0,8.0,"""Peace begins with a smile."" - Mother Teresa",2015-02-10,
79770243223_10153136252018224,2015-07-28 04:52:20,321,28,1,321,0,350,433.0,57.0,"The 2015 Trafficking in Persons (TIP) Report gives an assessment of 188 countries and territories on their efforts to combat modern slavery and human trafficking.  The report also includes recommendations for dealing with human trafficking, focusing on prosecution, protection, and prevention efforts.  To read the full TIP Report for Cambodia, please go to http://www.state.gov/j/tip/rls/tiprpt/countries/2015/243409.htm. 
#Cambodia",2015-07-28,1.0
79770243223_10151112347913224,2012-09-02 13:07:10,161,5,18,161,0,184,331.0,52.0,"50 States in 50 Days: Day 45 - Utah

Dinosaur National Monument sits on both sides of the Utah-Colorado border, with 800 km2 of some of canyons and mountains.

The ""Dinosaur Wall,"" a single rock face 60 meters long, holds more than 1,500 bones of dinosaurs that lived 150 million years ago.

Explore more: http://goo.gl/u5CuH",2012-09-02,8.0
79770243223_10151732125468224,2013-09-15 03:29:37,651,100,75,651,0,826,543.0,47.0,"The Road Ahead for Reform:

""This week we have seen significant developments on the road ahead for Cambodia.

I tend to be an optimist and view moments like these as opportunities for democratic growth rather than challenges.

Democracy doesnt only happen on election day...""

Read more:
(English) http://www.thecambodiaherald.com/opinion/detail/3?token=NTczMTZjZDM4NjM4YzVlZTA2NDdiZmJlNGJhYWM0
() http://www.cen.com.kh/localnews/show_detail/29?token=YmI4NTNmMj

Also check out the Ambassador's blog:
http://blogs.usembassy.gov/todd/",2013-09-15,37.0
79770243223_1431326620438415,2014-01-29 06:38:40,113,17,1,113,0,131,375.0,55.0,"Message To U.S. Citizens:  U.S. Citizens residing in Cambodia are welcome to attend the U.S. Embassys annual Health Fair and Blood Drive, scheduled for Friday, February 7, 2014, from 1:00 p.m. to 5:00 p.m., at the U.S. Embassy.  

Please see the announcement for more information and RSVP before Wednesday, February 5, 2013:  

http://cambodia.usembassy.gov/012814_acs.html
",2014-01-29,1.0
79770243223_10152593686553224,2014-11-21 10:29:15,277,9,4,277,0,290,364.0,58.0,"Today concludes our series for International Education Week.  

We hope the information shared has been helpful to those of you planning to study in the United States. Although, Education Week has ended, the journey to study abroad is year-round.  

Continue following the U.S. Embassy page for more information about the EducationUSA Fair coming in February 2015.",2014-11-21,4.0
79770243223_10153205056188224,2015-08-28 03:22:47,599,40,9,599,0,648,582.0,77.0,"Cambodian E-Teacher Scholarship Program alumni Kimteang Thai was recently sponsored by the U.S. Embassy Phnom Penh to attend the 2015 EAP E-Teacher Seminar in Seoul, Korea.  This seminar brought together English teaching professionals from across Asia to network and share experiences in their educational and professional development.  Kimteang said that she treasured each moment and is now equipped with techniques to make a more effective learning environment.  For more information about the E-Teacher Scholarship program, go to http://cambodia.usembassy.gov/eteacher.html.",2015-08-28,7.0
79770243223_10153329828033224,2015-11-05 06:26:35,791,94,7,791,0,892,1498.0,116.0,"More than 50,000 people participated in the 45th New York City Marathon this past Sunday. But did you know that Cambodia also hosts an internationally recognized racing event? On December 6, thousands of runners from around the world will be in Siem Reap for the Angkor Wat International Half Marathon. Founded in 1996, the race takes place inside of the world famous Angkor Wat and raises money for landmine victims in Cambodia. Please visit  http://www.angkormarathon.org/ to find out more about this year's race and to register before the November 14 deadline. Do you plan to run this year, or have you participated in the event before?

,      ?            http://www.angkormarathon.org/      ?

(Photo Credit: AP Images and Angkor Wat International Half Marathon)",2015-11-05,7.0
79770243223_10152185500913224,2014-05-06 06:43:25,438,30,22,438,0,490,625.0,87.0,"Have you ever volunteered? Tell us your experience if you have.

Katie Muller, a Returned Peace Corps Cambodia Volunteer, wrote:

""I imagine returning from an experience like Peace Corps is one of the only times in my life when I will be asked to summarize two years of my existence...

Although I know most people are just looking for a brief response, I feel pressure to give more than a simple anecdote or two.

Crafting my story feels like a heavy responsibility, because in telling my story, I also tell Cambodias...""

Read more:
http://passport.peacecorps.gov/2014/04/29/telling-my-pc-story-isnt-as-simple-as-ant-soup/",2014-05-06,22.0
79770243223_10152890722453224,2015-04-06 08:15:01,2553,84,16,2553,0,2653,703.0,102.0,"On April 2, volunteers dressed as spirits of road crash head injury victims reminded drivers and passengers to protect their lives by wearing helmets. The campaign is part of AIP Foundations Head Safe. Helmet On. project supported by #USAID. Over 120 participants attended the launch where government officials from National level, Phnom Penh, Kandal, and Kampong Speu Provinces including Secretary General of the National Road Safety Committee H.E. Poeu Maly watched the first airing of the campaigns TV commercial before taking to the streets. The visit TV commercial was part of the campaign launch supporting the implementation of the new Road Traffic Law. Watch it here: http://bit.ly/1NN9pB2",2015-04-06,16.0
79770243223_10152713320273224,2015-01-09 03:02:01,430,23,4,430,0,457,48.0,,"U.S. Embassy Phnom Penh, Cambodia shared a link.",2015-01-09,4.0
79770243223_424779300950288,2013-03-28 04:22:32,126,8,7,126,0,141,295.0,25.0,"     Washinton DC 

Many tourists make a special visit to Washington, D.C., in the spring to see the blooming pink and white cherry trees.

Watch the video: 
http://www.youtube.com/watch?v=_F2akuFSByo",2013-03-28,7.0
79770243223_10152245424358224,2014-06-05 05:01:17,938,51,15,938,0,1004,458.0,61.0,"Ambassador Todd:  ""Choeung Ek is vital to teaching current and future generations about the tragic events that took place during the Khmer Rouge period. By remembering the past, we pay tribute to the victims who died and honor the survivors who have struggled to overcome this painful legacy.""

Link to Ambassador Todd's blog post ""Honoring the Victims of the Khmer Rouge"":

http://blogs.usembassy.gov/todd/2014/06/05/honoring-the-victims-of-the-khmer-rouge/",2014-06-05,14.0
79770243223_10150634538568224,2006-06-15 07:00:00,14,3,0,14,0,17,240.0,19.0," Bill Clinton     

Former U.S. President Bill Clinton meets with Prime Minister Hun Sen during his visit to Cambodia in 2006.",2006-06-15,
79770243223_119001311497193,2010-11-18 01:38:06,9,0,1,9,0,10,297.0,54.0,"U.S. Navy Commander Michael Vannak Khem Misiewicz has visited dozens of ports over the course of his career, but none has ever evoked the emotions that will come when his ship USS Mustin visits Cambodia in December, marking the first time in 37 years that he has returned to the land of his birth.",2010-11-18,1.0
79770243223_10152529435128224,2014-10-16 09:30:00,1777,73,44,1777,0,1894,3812.0,563.0,"Internships -The Benefits of Hands-On Learning
-From the Ambassador's Penh

Despite an impressive rate of economic growth in Cambodia over the past several years, many young Cambodians are still facing challenges in finding good-paying jobs. One reason for this is that employers are increasingly looking to hire workers who have already demonstrated the skills that they need to perform. If young people entering the work force do not yet possess the right skills, employers may overlook otherwise promising hiring opportunities. One way that businesses, governments, and organizations can help bridge these gaps is through internships, a practice that is widely used in the United States.

I strongly believe that the work experience young people gain through internship programs can serve as a catalyst for professional success. That is why the U.S. Embassy runs a yearly summer internship program for promising Cambodian university students. We just concluded this years internship program where twelve interns gained valuable work experience in the areas of financial management, consular affairs, information technology, human resources, public affairs, program management, and procurement. We are extremely thankful for their meaningful contributions. I hope this unique experience will provide each of them with the confidence and skills that will open doors to more opportunities.

In order to further tap the potential of Cambodias bright students, my Youth Council has partnered with the American Chamber of Commerce to place highly qualified students in internship positions with some excellent companies. The Youth Council has also organized internship workshops which offer training on resum writing, preparing for a job interview, office etiquette, and professional ethics. More than 300 young Cambodians have attended these workshops and more than thirty internship candidates in the program have been successfully placed with twenty different companies in Cambodia.

In the United States, we find that many executives once started off as interns. In 1972, Bill Gates was an intern for the U.S. House of Representatives. Just two years after his internship, Gates co-founded Microsoft, one of the worlds leading corporations. Steven Spielberg was an intern before becoming a global icon in moviemaking. My Deputy at the Embassy was once a State Department intern who enjoyed the experience so much it led to her applying to become a diplomat.

Internships can and should be beneficial both to the hiring company and to the intern. In many cases, what hiring managers want and what applicants offer are very different. The gap between the skills presented and the skills required can be remedied by providing on-the-job training. Joining an organization or company as an intern provides a student the opportunity to work hands-on in a professional environment while also helping an employer evaluate how the student would fare in the actual workplace. It serves as a sort of test run for both the student and employer.

Interns are also valuable to employers for many reasons. In addition to creating an effective pathway for hiring, interns fill positions and assist employers with innovative ideas and technology. Young motivated interns can add fresh perspectives and ideas to increase organizational productivity while giving students a space to develop professionally.

I hope more employers continue to see the value of hands-on internship programs designed to mentor and cultivate todays young leaders, strengthen their understanding of the job market, and prepare them for future career opportunities.

If you are interested in an internship at the U.S. Embassy, please keep updated about future opportunities as information is posted on our website and our Facebook page.

#AmbTodd",2014-10-16,44.0
79770243223_120214968010659,2010-05-17 09:47:46,1,0,1,1,0,2,48.0,,"U.S. Embassy Phnom Penh, Cambodia shared a link.",2010-05-17,1.0
79770243223_10153651450273224,2016-04-06 05:12:30,775,40,7,780,5,827,1514.0,218.0,"Hawaii is the 50th and most recent state of United States of America, receiving statehood on August 21, 1959. Known as the ""Aloha"" state  Aloha is Hawaiian for both hello and goodbye  Hawaii is made up of eight main islands, many of which have become a favorite destination for honeymooners, surfers, golfers, and hikers. The population is very diverse, with large native Hawaiian, Asian, and Hispanic communities. Hawaii is a state with a rich history and stunning natural beauty.  It is known for its volcanoes, including Kilauea, which has been erupting for decades, and Mauna Loa, which is the largest volcano on earth. 

Many well-known people come from Hawaii, but perhaps the most famous is U.S. President Barack Obama, who was born in Honolulu on August 4, 1961.

Hawaii is also home to the East-West Center  an important education and research center established in 1960 by the U.S. Congress. In 2015, Architect Pen Sereypagna of the Vann Molyvann Project had an internship at the East-West Center through the International Council on Monuments and Sites (US/ICOMOS), which was sponsored in part by the U.S. Embassy. Many Cambodians have studied at the University of Hawaii at Manoa, which is one of the few U.S. universities to offer a Khmer Language Program!

Learn more about the great state of Hawaii here https://share.america.gov/hawaii-volcanoes-big-waves-and-chapels/?utm_source=productiondesk&utm_medium=shareamericanews&utm_campaign=dosnyhawaii&utm_content=hawaii:pearlharbor,perfectwaves,vol",2016-04-06,7.0
79770243223_10152401367718224,2014-08-21 10:06:09,492,35,13,492,0,540,498.0,83.0,"Do you think social media activism can create any real difference? Why or Why not?
 
The Internet is inundated with posts on the #icebucketchallenge. Participants have to dump a bucket of ice water on their heads or donate money to the ALS (a progressive neurodegenerative disease) to raise awareness for the disease. The social media viral craze has now helped raise more than $30 million dollars for ALS research, compared to $1.9 million in the same time frame last year.  http://goo.gl/7dWAVP 
",2014-08-21,12.0
79770243223_10151577893648224,2013-06-26 05:22:35,341,19,11,341,0,371,310.0,47.0,"On June 26, 2013, the U.S. Embassy convened a roundtable discussion on issues facing the lesbian, gay, bisexual, and transgender (LGBT) community in Cambodia.  The invited organizations work in LGBT advocacy, human rights, and health sectors.  Representatives discussed ways to advance LGBT rights in Cambodia.",2013-06-26,11.0
79770243223_141046145923473,2010-07-26 10:55:32,4,0,0,4,0,4,122.0,16.0,"David Chandler's Address given at Academic Symposium, 60th Anniversary of U.S.-Cambodia Diplomatic Relations, 21 July 2010",2010-07-26,
79770243223_129660870381632,2010-05-24 03:56:57,1,0,1,1,0,2,48.0,,"U.S. Embassy Phnom Penh, Cambodia shared a link.",2010-05-24,1.0
79770243223_10151653693103224,2013-08-06 05:57:52,478,17,3,478,0,498,322.0,40.0,"On August 3, the U.S. Ambassadors Youth Council (AYC) held a screening of the documentary film Half the Sky.

The screening included a brief video introduction presented expressly for the AYC by Nicholas Kristof, co-author of the book which inspired the film.

Read more: http://cambodia.usembassy.gov/half_the_sky.html",2013-08-06,3.0
79770243223_10151229704763224,2012-11-30 12:21:46,1007,37,28,1007,0,1072,254.0,21.0," link     ?

http://go.usa.gov/gDwe

To test your knowledge on gender-based violence, click the link above to take a quiz.

How many correct answers can you get?",2012-11-30,27.0
79770243223_10151432531523224,2013-03-21 01:32:54,742,98,28,742,0,868,729.0,62.0,"      

* Economics and Finance Institute, Phnom Penh
Thursday, March 21, 2013
9:30-11:30 am

* Royal University of Fine Arts, Phnom Penh
Friday, March 22, 2013
9:30-11:30 am

* University of Management and Economics, Kampong Cham
Tuesday, March 26, 2013
10:00-12:00 am

* University of Management and Economics, Kratie
Wednesday, March 27, 2013
8:30-10:30 am

* Build Bright University, Stung Treng
Wednesday, March 27, 2013
3:00-5:00 pm

* Build Bright University, Ratanakiri
Thursday, March 28, 2013
2:00-4:00 pm

Information on Fulbright Program:
http://cambodia.usembassy.gov/fulbright_announcement.html",2013-03-21,25.0
79770243223_10152496264668224,2014-10-03 05:15:00,773,109,29,773,0,911,125.0,18.0,"Where there is corruption, education suffers says Transparency International . 
 
How does corruption affect your daily life?",2014-10-03,26.0
79770243223_1426115614292849,2014-01-13 02:18:47,110,8,11,110,0,129,799.0,101.0,"""After spending the New Year with my family in the United States, I decided to cut my holiday short and return to Cambodia given the recent political upheaval in Phnom Penh. At this time, my thoughts and prayers go out to those who lost their lives on Veng Sreng Boulevard as well as to the family and friends they left behind.  My in-box was flooded with questions and comments by Cambodians concerned that this tragedy and the new ban on demonstrations would have a serious negative impact onthe countrys democratic development...

Links to Ambassador Todd's column ""Getting Back on the Democratic Path"":

() http://www.cen.com.kh/localnews/show_detail/29?token=NWE4NDQzYT

(English) http://www.thecambodiaherald.com/opinion/detail/3?token=MzY4NWNmMzQ3OTYzNmQ4MzIzZTUyM2Y4OTgxZDE5",2014-01-13,11.0
79770243223_153939821411459,2012-09-13 07:08:25,141,12,17,141,0,170,5988.0,1000.0,"Yesterday, our U.S. diplomatic post in Benghazi, Libya was attacked.

Heavily armed militants assaulted the compound and set fire to our buildings.

American and Libyan security personnel battled the attackers together.

Four Americans were killed. They included Sean Smith, a Foreign Service information management officer, and our Ambassador to Libya Chris Stevens.

We are still making next of kin notifications for the other two individuals.

This is an attack that should shock the conscience of people of all faiths around the world.

We condemn in the strongest terms this senseless act of violence, and we send our prayers to the families, friends, and colleagues of those weve lost.

All over the world, every day, Americas diplomats and development experts risk their lives in the service of our country and our values, because they believe that the United States must be a force for peace and progress in the world, that these aspirations are worth striving and sacrificing for. 

Alongside our men and women in uniform, they represent the best traditions of a bold and generous nation.

In the lobby of this building, the State Department, the names of those who have fallen in the line of duty are inscribed in marble.

Our hearts break over each one. And now, because of this tragedy, we have new heroes to honor and more friends to mourn.

Chris Stevens fell in love with the Middle East as a young Peace Corps volunteer teaching English in Morocco. He joined the Foreign Service, learned languages, won friends for America in distant places, and made other peoples hopes his own.

In the early days of the Libyan revolution, I asked Chris to be our envoy to the rebel opposition. He arrived on a cargo ship in the port of Benghazi and began building our relationships with Libyas revolutionaries. He risked his life to stop a tyrant, then gave his life trying to help build a better Libya. The world needs more Chris Stevenses. I spoke with his sister, Ann, this morning, and told her that he will be remembered as a hero by many nations.

Sean Smith was an Air Force veteran. He spent 10 years as an information management officer in the State Department, he was posted at The Hague, and was in Libya on a brief temporary assignment. He was a husband to his wife Heather, with whom I spoke this morning. He was a father to two young children, Samantha and Nathan. They will grow up being proud of the service their father gave to our country, service that took him from Pretoria to Baghdad, and finally to Benghazi.

The mission that drew Chris and Sean and their colleagues to Libya is both noble and necessary, and we and the people of Libya honor their memory by carrying it forward. This is not easy. Today, many Americans are asking  indeed, I asked myself  how could this happen? How could this happen in a country we helped liberate, in a city we helped save from destruction? This question reflects just how complicated and, at times, how confounding the world can be.

But we must be clear-eyed, even in our grief. This was an attack by a small and savage group  not the people or Government of Libya. Everywhere Chris and his team went in Libya, in a country scarred by war and tyranny, they were hailed as friends and partners. And when the attack came yesterday, Libyans stood and fought to defend our post. Some were wounded. Libyans carried Chris body to the hospital, and they helped rescue and lead other Americans to safety. And last night, when I spoke with the President of Libya, he strongly condemned the violence and pledged every effort to protect our people and pursue those responsible.

The friendship between our countries, borne out of shared struggle, will not be another casualty of this attack. A free and stable Libya is still in Americas interest and security, and we will not turn our back on that, nor will we rest until those responsible for these attacks are found and brought to justice. We are working closely with the Libyan authorities to move swiftly and surely. We are also working with partners around the world to safeguard other American embassies, consulates, and citizens.

There will be more time later to reflect, but today, we have work to do. There is no higher priority than protecting our men and women wherever they serve. We are working to determine the precise motivations and methods of those who carried out this assault. Some have sought to justify this vicious behavior, along with the protest that took place at our Embassy in Cairo yesterday, as a response to inflammatory material posted on the internet. Americas commitment to religious tolerance goes back to the very beginning of our nation. But let me be clear  there is no justification for this, none. Violence like this is no way to honor religion or faith. And as long as there are those who would take innocent life in the name of God, the world will never know a true and lasting peace.

It is especially difficult that this happened on September 11th. Its an anniversary that means a great deal to all Americans. Every year on that day, we are reminded that our work is not yet finished, that the job of putting an end to violent extremism and building a safe and stable world continues. But September 11th means even more than that. It is a day on which we remember thousands of American heroes, the bonds that connect all Americans, wherever we are on this Earth, and the values that see us through every storm. And now it is a day on which we will remember Sean, Chris, and their colleagues.

May God bless them, and may God bless the thousands of Americans working in every corner of the world who make this country the greatest force for peace, prosperity, and progress, and a force that has always stood for human dignity  the greatest force the world has ever known. And may God continue to bless the United States of America.

Thank you.

http://www.youtube.com/watch?v=Di9E4da5G4k&feature=share&list=UU6ZhpmNnLxlOYipqh8wbM3A",2012-09-13,16.0
79770243223_10152396914418224,2014-08-19 09:41:23,258,11,1,258,0,270,152.0,24.0,"World Humanitarian Day is August 19th.

You too can become a Messenger of Humanity. Sign up. Take action. Click to join:  #WHD2014  http://goo.gl/gSuUqt",2014-08-19,1.0
79770243223_10150424696138224,2011-12-14 10:14:02,145,10,35,145,0,190,1149.0,78.0,"Congratulations to the 25 people who have just won VIP tickets to MTV EXIT concert.
http://www.facebook.com/photo.php?fbid=10150424154963224&set=a.10150397415568224.355832.79770243223&type=1&ref=nf
    VIP   MTV EXIT 

For those who did not win, general admission tickets are available, free of charge, at Cellcard locations. Click the link below to find out where you can get the tickets.

http://www.facebook.com/photo.php?fbid=10150384146466706&set=a.10150384146281706.341778.7502261705&type=1&ref=nf

 VIP      Cellcard  link  
____________________

1. According to the U.S. State Department, more than 12 million people are exploited through trafficking around the world every year.
   

2. Men, women, and children can be the victims of human trafficking.
    ",2011-12-14,21.0
79770243223_10152791689638224,2015-02-17 11:00:00,731,159,18,731,0,908,329.0,41.0,"If you are interested in working for Peace Corps Cambodia, here is an opportunity for you.

POSITION: Homestay/Site Coordinator - HSC (Full Time Temporary Positions)
DATE OF POSITION: June 2015  October 2015
OPEN TO: All Qualified Candidates
CLOSING DATE: March 7, 2015 
More information: http://cambodia.usembassy.gov/job2.html",2015-02-17,17.0
79770243223_10151021595438224,2012-07-19 14:56:04,154,23,7,154,0,184,704.0,97.0,"Are you interested in working for the U.S. Embassy? We are seeking individuals for Residential Guard positions.
More info: http://cambodia.usembassy.gov/job4.html

QUALIFICATIONS REQUIRED:
. Completion of High School is required.

. Level II (Limited Knowledge) of English and Level III (Good Working Knowledge) of Khmer are required. Language proficiency will be tested.

. One year of military, police or guard service experience is required.

. Must be able to follow both oral and written instructions from the RSO/ARSO and Guard Supervisors.

. Must be able to use handcuffs and baton effectively. Must demonstrate and ability to deal effectively and appropriately with people of different cultures.",2012-07-19,7.0
79770243223_10152447127293224,2014-09-08 12:15:01,506,27,6,506,0,539,286.0,46.0,Happy 50th birthday to the United States Civil Rights Act! Learn how citizens and organizations joined forces to push for changes that ultimately shaped U.S. legislation.  Have questions for the experts? Watch the #StateofRights conversation LIVE from the #Newseum - 9 a.m. ET on 9/9/14,2014-09-08,6.0
79770243223_10151380720188224,2013-02-20 07:48:49,196,33,14,196,0,243,472.0,72.0,"* Would you like to travel to the U.S. for one month? 

* Are you a Cambodian woman between the ages of 25 and 40?

* Do you have a good command of English?

* Do you have a minimum of three years of professional experience in a sports-related industry?

If yes, you may want to apply for the U.S. Department of State and espnW Global Sports Mentoring Program.

Click the link below for more informatrion.
http://cambodia.usembassy.gov/global_sports_mentoring_program.html",2013-02-20,13.0
79770243223_10151659587218224,2013-08-09 01:39:23,289,25,5,289,0,319,465.0,2.0," SEAYLP    

 ACCESS   

     

 ACCESS
http://khmer.cambodia.usembassy.gov/access_-_cambodia.html

 SEAYLP
http://exchanges.state.gov/non-us/program/youth-leadership-programs",2013-08-09,5.0
79770243223_10151709317038224,2013-09-04 02:32:22,358,36,12,358,0,406,496.0,68.0,"Mobile technology may soon be the most important means for Cambodians to receive information of all kinds.

Making valuable information more accessible through mobile technology is one of the goals of USAID.

By promoting partnerships to deliver greater diversity of information to the public, and by improving mobile communications in the Khmer language, USAID is working to extend the reach of information in Cambodia.

Learn more about this initiative at http://www.open.org.kh/en/spice.",2013-09-04,12.0
79770243223_10153256444058224,2015-09-21 01:35:22,975,87,51,975,0,1113,60.0,,"U.S. Embassy Phnom Penh, Cambodia updated their cover photo.",2015-09-21,48.0
79770243223_356126164491217,2013-03-29 10:12:05,96,1,1,96,0,98,402.0,3.0," Todd   

     

 Todd    

Read more:
http://blogs.usembassy.gov/todd/2013/03/28/caring-for-cambodia%E2%80%99s-children/",2013-03-29,1.0
79770243223_10150212989328224,2011-06-24 01:24:04,116,0,14,116,0,130,578.0,31.0,"More than 50 Fulbright alumni participated in a meeting on June 16.

Fulbright alumni has been working to promote peace and development, especially in the education sector in Cambodia.

 Fulbright       

 Fulbright   

More photos: https://picasaweb.google.com/USembassycambodia/FulbrightAlumniAssociationOfCambodiaHoldsAnnualGeneralMeeting",2011-06-24,14.0
